EmployerName,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,PropMaleLowerQuartile,PropFemaleLowerQuartile,PropMaleLowerMiddleQuartile,PropFemaleLowerMiddleQuartile,PropMaleUpperMiddleQuartile,PropFemaleUpperMiddleQuartile,PropMaleTopQuartile,PropFemaleTopQuartile,EmployerSize
St Bartholomew's School,13.8,30.8,NA,NA,0,0,0.17,0.83,0.32,0.68,0.39,0.61,0.38,0.62,250-499
ST CUTHBERT'S CARE,4.5,13,NA,NA,0,0,0.13,0.87,0.12,0.88,0.14,0.86,0.19,0.81,250-499
Style Acre,9.1,0,NA,NA,0,0,0.221,0.779,0.143,0.857,0.13,0.87,0.177,0.823,250-499
Surrey Heath Borough Council,6.1,10.3,NA,NA,0,0,0.375,0.625,0.306,0.694,0.338,0.662,0.444,0.556,250-499
Synaptic Trust,23.8,25.1,NA,NA,0,0,0.036,0.964,0.088,0.912,0.158,0.842,0.143,0.857,0-249
T. CLASS SECURITY LIMITED,100,100,100,100,100,100,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,250-499
TASKMASTER RESOURCES LIMITED,8.4,9.1,26,11.2,78,76,0.26,0.74,0.31,0.69,0.39,0.61,0.36,0.64,250-499
TAUNTON SCHOOL EDUCATIONAL CHARITY,12.4,12.9,-2,-2,1,1,0.297,0.703,0.319,0.681,0.416,0.584,0.406,0.594,500-999
TBAP Trust,11.2,6.6,81,0,38,44.1,0.26,0.74,0.41,0.59,0.41,0.59,0.37,0.63,250-499
TESGL LIMITED,36.7,42.1,39.1,53.4,43.1,24.5,0.391,0.609,0.921,0.079,0.952,0.048,0.937,0.063,250-499
THAMES REACH CHARITY,-1.9,-5.5,NA,NA,0,0,0.529,0.471,0.471,0.529,0.388,0.612,0.435,0.565,250-499
THAMES WATER UTILITIES LIMITED,10.4,12.2,40.8,0,32,34.2,0.572,0.428,0.661,0.339,0.73,0.27,0.726,0.274,5000-19999
The British Museum,1,-8,50,3,62,38,0.55,0.45,0.42,0.58,0.32,0.68,0.45,0.55,500-999
THE CAKE CREW  LIMITED,7,3,7,-5,22,5,0.45,0.55,0.45,0.55,0.6,0.4,0.58,0.42,250-499
